id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,instrumentalness,speechiness,decade
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,0.02,0.05,2020s
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,0.45,0.04,2010s
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,66,0.01,0.07,2010s
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,0.60,0.03,2010s
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,0.00,0.06,2020s
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,39,0.88,0.03,2010s
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,61,0.10,0.08,2010s
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,57,0.35,0.04,2010s
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,0.50,0.05,2020s
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,0.04,0.06,2020s
11,Bassline Therapy,Flow State,hip-hop,focused,0.80,95,0.72,0.84,0.12,74,0.05,0.18,2010s
12,Open Road,Dusty Pines,country,happy,0.65,104,0.85,0.74,0.55,63,0.03,0.06,2010s
13,Pulse Sequence,Grid Voltage,electronic,intense,0.94,140,0.52,0.91,0.04,71,0.72,0.04,2020s
14,Quiet Room,Ivory Depth,classical,relaxed,0.22,68,0.76,0.33,0.95,44,0.91,0.04,2000s
15,Fading Letters,The Hollow,indie folk,melancholy,0.44,88,0.38,0.50,0.82,50,0.08,0.05,2010s
16,Late Night Kings,Cipher Block,hip-hop,moody,0.74,92,0.55,0.80,0.08,68,0.02,0.28,2010s
17,Sugar & Smoke,Redd Velvet,r&b,happy,0.69,112,0.90,0.85,0.28,77,0.01,0.09,2020s
18,Weight of Silence,Ashveil,metal,intense,0.96,158,0.21,0.60,0.06,58,0.15,0.06,2010s
19,Dusk Serenade,Luna Arco,classical,melancholy,0.18,58,0.48,0.29,0.97,41,0.94,0.04,2000s
20,Porch Sessions,Meadow Wire,indie folk,relaxed,0.38,76,0.70,0.45,0.88,53,0.12,0.05,2000s
